M,T/T0,P/P0,D/D0,T/T*,P/P*,D/D*,A/A*
0,1,1,1,1.2,1.89292915873785,1.57744096561488,Inf
0.1,0.998003992015968,0.993031384874252,0.995017447644,1.19760479041916,1.8797380639703,1.5695812834152,5.82182875
0.2,0.992063492063492,0.972496702955777,0.980276676579423,1.19047619047619,1.84086736580142,1.54632858727319,2.96352
0.3,0.982318271119843,0.939469698494016,0.956380153066908,1.17878192534381,1.77834958602998,1.50863323214877,2.03506526234568
0.4,0.968992248062015,0.895614383048238,0.924274043305782,1.16279069767442,1.69533458065702,1.45798773936504,1.59014
0.5,0.952380952380952,0.843019175422553,0.885170134193681,1.14285714285714,1.59577557853249,1.39630363121593,1.33984375
0.6,0.932835820895522,0.784003950869444,0.840452235332044,1.11940298507463,1.48406393916645,1.32576378565536,1.18819950617284
0.7,0.910746812386157,0.720927860991915,0.791578791369123,1.09289617486339,1.36466536941811,1.24866881301757,1.09437267857143
0.8,0.886524822695035,0.656021618358975,0.739992385508924,1.06382978723404,1.2418024501541,1.16729430314485,1.03823
0.9,0.860585197934596,0.591260071835591,0.687044203472957,1.03270223752151,1.11921343037503,1.08377167174649,1.00886286522634
1,0.833333333333333,0.528281787717174,0.633938145260609,1,1,1,1
1.1,0.805152979066023,0.468354195047297,0.581695910248743,0.966183574879227,0.886561312422225,0.917590958357003,1.00792534090909
1.2,0.77639751552795,0.412377042311142,0.531141630496751,0.93167701863354,0.780600527784834,0.837844566489055,1.03043975308642
1.3,0.747384155455904,0.360913895409136,0.482902792057424,0.896860986547085,0.683184436413617,0.761750646601184,1.06630451923077
1.4,0.718390804597701,0.314240875826827,0.437423299150943,0.862068965517241,0.594835716719922,0.69000943139511,1.11492571428571
1.5,0.689655172413793,0.272403066476657,0.394984446391153,0.827586206896552,0.515639707463271,0.623064646518119,1.17616705246914
1.6,0.661375661375661,0.235271180126482,0.355730024351241,0.793650793650794,0.445351677072084,0.561143113110826,1.250235
1.7,0.633713561470216,0.202593498403836,0.319692540481253,0.760456273764259,0.383495140499332,0.504296109756622,1.33760639705882
1.8,0.606796116504854,0.17404028036547,0.286818382042294,0.728155339805825,0.329445921498709,0.452439065524893,1.43898205761317
